id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
EastA509ToH6.48,864.0,770_0,4.6,0.0,0.0,1518.0,522_1,56.88,12.6,654.0,3288.82,334.0,10,0.0,398.76,0,tripinfo_EastA509ToH6.48 emissions_EastA509ToH6.48,electric,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.117,1404.0,468_0,5.1,0.0,0.0,1531.0,522_1,56.88,13.28,127.0,1507.13,0.0,0,0.0,16.09,0,tripinfo_V6ToEastH6.117 emissions_V6ToEastH6.117,gasoline_euro4,0.99,4147.571561,364004.828245,26.907371,5.592277,141.37308,116100.935058,0.0
EastAveburyToWestA509.115,1178.0,483_0,5.1,0.0,0.5,1532.0,774_2,29.75,13.71,354.0,2209.76,155.0,6,0.0,202.72,0,tripinfo_EastAveburyToWestA509.115 emissions_EastAveburyToWestA509.115,gasoline_euro4,1.06,34904.236931,1024304.408722,181.943478,20.438704,430.34133,326715.613299,0.0
V6ToEastH6.116,1392.0,468_0,5.1,0.0,0.0,1541.0,522_0,56.88,10.79,149.0,1507.13,0.0,0,0.0,11.84,0,tripinfo_V6ToEastH6.116 emissions_V6ToEastH6.116,gasoline_euro4,0.79,4369.019784,337112.305494,27.582933,4.59143,128.817461,107524.391379,0.0
EastAveburyToWestA509.62,727.0,483_0,5.1,0.0,0.0,1544.0,774_1,29.75,12.28,817.0,2209.78,508.0,16,0.0,637.74,0,tripinfo_EastAveburyToWestA509.62 emissions_EastAveburyToWestA509.62,gasoline_euro4,0.9,103290.194356,2102478.646593,519.182763,47.00357,925.910897,670627.761639,0.0
EastAveburyToWestA509.64,744.0,483_0,5.1,0.0,0.0,1544.0,774_2,29.75,12.59,800.0,2209.74,479.0,16,0.0,631.27,0,tripinfo_EastAveburyToWestA509.64 emissions_EastAveburyToWestA509.64,gasoline_euro4,0.95,100947.546662,2084653.814089,508.155263,46.752747,919.211031,664941.039989,0.0
V6ToEastH6.118,1416.0,468_0,5.1,0.0,0.0,1545.0,522_1,56.88,12.4,129.0,1507.13,0.0,0,0.0,11.36,0,tripinfo_V6ToEastH6.118 emissions_V6ToEastH6.118,gasoline_euro4,0.93,3803.083625,336825.013563,24.879266,5.042391,130.335786,107431.955365,0.0
EastAveburyToWestA509.117,1195.0,483_0,4.6,0.0,0.5,1546.0,774_2,29.75,13.41,351.0,2210.28,131.0,9,0.0,197.5,0,tripinfo_EastAveburyToWestA509.117 emissions_EastAveburyToWestA509.117,electric,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.119,1428.0,468_0,4.6,0.0,0.0,1548.0,522_1,56.88,13.13,120.0,1507.63,0.0,0,0.0,12.07,0,tripinfo_V6ToEastH6.119 emissions_V6ToEastH6.119,electric,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EastAveburyToWestA509.95,1008.0,483_0,4.6,0.0,0.5,1551.0,774_2,29.75,11.73,543.0,2210.25,289.0,12,0.0,369.52,0,tripinfo_EastAveburyToWestA509.95 emissions_EastAveburyToWestA509.95,electric,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EastAveburyToWestA509.61,719.0,483_0,4.6,0.0,0.5,1552.0,774_0,29.75,10.72,833.0,2213.88,509.0,18,0.0,646.63,0,tripinfo_EastAveburyToWestA509.61 emissions_EastAveburyToWestA509.61,electric,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
